nomfichier|E_NUM_INTERNE|E_NUM_TICKET|E_DATE_TICKET|E_HEURE_TICKET|E_HT1|E_HT2|E_HT3|E_HT4|E_TVA1|E_TVA2|E_TVA3|E_TVA4|E_HT_NON_TAXABLE|E_TTC|E_MDP_CB|E_MDP_ESPECES|E_MDP_CHEQUES
EJ310123.TXT|004517|003562|2023-01-02|11:25|249.17||||49.83|||||299.00|299.00||
EJ310123.TXT|004518|003563|2023-01-02|12:34|208.33||||41.67|||||250.00||250.00|
EJ310123.TXT|004519|003564|2023-01-02|16:36|483.33||||96.67|||||580.00||580.00|
EJ310123.TXT|004520|003565|2023-01-03|15:02|720.83||||144.17|||||865.00||865.00|
EJ310123.TXT|004521|003566|2023-01-03|15:03|144.17||||28.83|||||173.00||173.00|
EJ310123.TXT|004522|003567|2023-01-03|15:19|823.33||||164.67|||||988.00||988.00|
EJ310123.TXT|004523|003568|2023-01-03|15:19|823.33||||164.67|||||988.00||988.00|
EJ310123.TXT|004524|003569|2023-01-03|15:45|1450.00||||290.00|||||1740.00|1740.00||
EJ310123.TXT|004525|003570|2023-01-03|16:16|498.33||||99.67|||||598.00|598.00||
EJ310123.TXT|004526|003571|2023-01-04|10:54|725.00||||145.00|||||870.00||870.00|
EJ310123.TXT|004527|003572|2023-01-06|11:36|37.50||||7.50|||||45.00||45.00|
EJ310123.TXT|004528|003573|2023-01-06|13:56|498.33||||99.67|||||598.00||598.00|
EJ310123.TXT|004529|003574|2023-01-06|17:29|5035.00||||1007.00|||||6042.00|||6042.00
EJ310123.TXT|004530|003575|2023-01-07|15:33|581.67||||116.33|||||698.00|698.00||
EJ310123.TXT|004531|003576|2023-01-07|16:22|540.00||||108.00|||||648.00|648.00||
EJ310123.TXT|004532|003577|2023-01-09|15:13|648.33||||129.67|||||778.00||778.00|
EJ310123.TXT|004533|003578|2023-01-09|15:42|288.33||||57.67|||||346.00||346.00|
EJ310123.TXT|004534|003579|2023-01-10|15:49|483.33||||96.67|||||580.00||580.00|
EJ310123.TXT|004535|003580|2023-01-10|15:49|483.33||||96.67|||||580.00||580.00|
EJ310123.TXT|004536|003581|2023-01-12|15:51|522.50||||104.50|||||627.00||627.00|
EJ310123.TXT|004537|003582|2023-01-12|18:15|747.50||||149.50|||||897.00||897.00|
EJ310123.TXT|004538|003583|2023-01-12|18:15|249.17||||49.83|||||299.00||299.00|
EJ310123.TXT|004539|003584|2023-01-12|18:52|725.00||||145.00|||||870.00||870.00|
EJ310123.TXT|004540|003585|2023-01-13|10:29|582.50||||116.50|||||699.00||699.00|
EJ310123.TXT|004541|003586|2023-01-13|10:29|582.50||||116.50|||||699.00||699.00|
EJ310123.TXT|004542|003587|2023-01-13|14:36|747.50||||149.50|||||897.00||897.00|
EJ310123.TXT|004543|003588|2023-01-13|15:42|181.67||||36.33|||||218.00||218.00|
EJ310123.TXT|004544|003589|2023-01-13|15:43|144.17||||28.83|||||173.00||173.00|
EJ310123.TXT|004545|003590|2023-01-13|16:03|249.17||||49.83|||||299.00||299.00|
